Virtual User Script started at : 2019-11-17 17:23:20	[MsgId: MMSG-205068]
t=00014339ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=2.2%3A%20Type%20yauhen.hedrevich%40sap.com%20in%20Welcome%20to%20Procurement...%20textbox	[MsgId: MMSG-205180]
t=00014340ms: Step 2.2: Type yauhen.hedrevich@sap.com in Welcome to Procurement... textbox started	[MsgId: MMSG-205180]
t=00023486ms: Step 2.2: Type yauhen.hedrevich@sap.com in Welcome to Procurement... textbox successfully completed with End Event "Action completed"	[MsgId: MMSG-205180]
t=00023989ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=2.4%3A%20Type%20**************%20in%20Password%20passwordbox	[MsgId: MMSG-205180]
t=00023991ms: Step 2.4: Type ************** in Password passwordbox started	[MsgId: MMSG-205180]
t=00028733ms: Step 2.4: Type ************** in Password passwordbox successfully completed with End Event "Action completed"	[MsgId: MMSG-205180]
t=00029239ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=2.5%3A%20Click%20on%20Log%20On%20button	[MsgId: MMSG-205180]
t=00029243ms: Step 2.5: Click on Log On button started	[MsgId: MMSG-205180]
t=00041759ms: Step 2.5: Click on Log On button successfully completed with End Event "Document Loaded"	[MsgId: MMSG-205180]
t=00041765ms: Step 2: Log On successfully completed with End Event "Action completed"	[MsgId: MMSG-205180]
t=00041765ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupEnd&cmdParam1=Log%20On	[MsgId: MMSG-205180]
t=00042271ms: Step 3: Click on link (1) link started	[MsgId: MMSG-205180]
t=00042273ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=3%3A%20Click%20on%20link%20(1)%20link	[MsgId: MMSG-205180]
t=00066146ms: Step 3: Click on link (1) link successfully completed with End Event "Step network completed"	[MsgId: MMSG-205180]
t=00066649ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=5%3A%20Click%20on%20Search%20searchbox	[MsgId: MMSG-205180]
t=00066650ms: Step 5: Click on Search searchbox started	[MsgId: MMSG-205180]
t=00082829ms: Step 5: Click on Search searchbox successfully completed with End Event "Step network completed"	[MsgId: MMSG-205180]
t=00083331ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=6%3A%20Type%200000100371%20in%20Search%20searchbox	[MsgId: MMSG-205180]
t=00083332ms: Step 6: Type 0000100371 in Search searchbox started	[MsgId: MMSG-205180]
t=00086847ms: Step 6: Type 0000100371 in Search searchbox successfully completed with End Event "Action completed"	[MsgId: MMSG-205180]
t=00087348ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=8%3A%20Click%20on%20Search%20	[MsgId: MMSG-205180]
t=00087349ms: Step 8: Click on Search  started	[MsgId: MMSG-205180]
t=00088412ms: Step 8: Click on Search  successfully completed with End Event "Step network completed"	[MsgId: MMSG-205180]
t=00088916ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=InsertTransStart&cmdParam1=Transaction%201	[MsgId: MMSG-205180]
Notify: Transaction "Transaction 1" started.	[MsgId: MMSG-16999]
t=00088918ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=12%3A%20Click%20on%20Invoice%20Number%20%2F%202019%20	[MsgId: MMSG-205180]
t=00088920ms: Step 12: Click on Invoice Number / 2019  started	[MsgId: MMSG-205180]
t=00110335ms: Step 12: Click on Invoice Number / 2019  successfully completed with End Event "Step network completed"	[MsgId: MMSG-205180]
t=00110340ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=InsertTransEnd&cmdParam1=Transaction%201	[MsgId: MMSG-205180]
Notify: Transaction "Transaction 1" ended with a "Pass" status (Duration: 21.4240 Wasted Time: 0.3570).	[MsgId: MMSG-16871]
t=00110350ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupEnd&cmdParam1=Run%20Block	[MsgId: MMSG-205180]
Ending iteration 1.	[MsgId: MMSG-15965]
Ending Vuser...	[MsgId: MMSG-205066]
t=00110357ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupStart&cmdParam1=End%20Block	[MsgId: MMSG-205180]
t=00110362ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=AddAction&cmdParam1=vuser_end	[MsgId: MMSG-205180]
t=00110372ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupEnd&cmdParam1=End%20Block	[MsgId: MMSG-205180]
t=00110372ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StopRecording	[MsgId: MMSG-205180]
Vuser Terminated.	[MsgId: MMSG-205063]
