Virtual User Script started at : 2019-11-17 19:15:09	[MsgId: MMSG-205068]
t=00092368ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=12%3A%20Click%20on%20Invoice%20Number%20%2F%202019%20	[MsgId: MMSG-205180]
t=00092369ms: Step 12: Click on Invoice Number / 2019  started	[MsgId: MMSG-205180]
t=00106901ms: Step 12: Click on Invoice Number / 2019  successfully completed with End Event "Step network completed"	[MsgId: MMSG-205180]
t=00106902ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=InsertTransEnd&cmdParam1=Transaction%201	[MsgId: MMSG-205180]
Notify: Transaction "Transaction 1" ended with a "Pass" status (Duration: 14.5350 Wasted Time: 0.3540).	[MsgId: MMSG-16871]
t=00106912ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupEnd&cmdParam1=Run%20Block	[MsgId: MMSG-205180]
Ending iteration 1.	[MsgId: MMSG-15965]
Ending Vuser...	[MsgId: MMSG-205066]
t=00106930ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupStart&cmdParam1=End%20Block	[MsgId: MMSG-205180]
t=00106940ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=AddAction&cmdParam1=vuser_end	[MsgId: MMSG-205180]
t=00106951ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupEnd&cmdParam1=End%20Block	[MsgId: MMSG-205180]
t=00106952ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StopRecording	[MsgId: MMSG-205180]
Vuser Terminated.	[MsgId: MMSG-205063]
